id,answer
2615,1
2616,5
2617,3
2618,3
2619,1
2620,4
2621,4
2622,4
2623,3
2624,1
2625,4
2626,4
2627,3
2628,4
2629,2
2630,3
2631,1
2632,2
2633,5
2634,5
2635,4
2636,5
2637,2
2638,5
2639,2
2640,5
2641,3
2642,1
2643,2
2644,5
2645,2
2646,3
2647,3
2648,3
2649,3
2650,3
2651,5
2652,3
2653,2
2654,5
2655,5
2656,3
2657,4
2658,4
2659,5
2660,3
2661,3
2662,3
2663,3
2664,4
2665,3
2666,2
2667,4
2668,5
2669,5
2670,2
2671,1
2672,4
2673,5
2674,1
2675,2
2676,4
2677,5
2678,4
2679,3
2680,1
2681,3
2682,1
2683,4
2684,4
2685,4
2686,1
2687,1
2688,5
2689,1
2690,2
2691,1
2692,2
2693,5
2694,2
2695,5
2696,5
2697,1
2698,1
2699,3
2700,3
2701,3
2702,1
2703,5
2704,1
2705,5
2706,1
2707,2
2708,3
2709,4
2710,1
2711,3
2712,3
2713,2
2714,2
2715,4
2716,2
2717,3
2718,2
2719,4
2720,2
2721,4
2722,5
2723,1
2724,2
2725,2
2726,1
2727,3
2728,5
2729,1
2730,1
2731,2
2732,2
2733,5
2734,2
2735,4
2736,1
2737,3
2738,5
2739,4
2740,1
2741,4
2742,3
2743,2
2744,2
2745,5
2746,2
2747,5
2748,5
2749,5
2750,4
2751,3
2752,3
2753,2
2754,5
2755,2
2756,4
2757,3
2758,1
2759,1
2760,4
2761,5
2762,3
2763,2
2764,2
2765,2
2766,1
2767,3
2768,3
2769,4
2770,1
2771,4
2772,3
2773,2
2774,2
2775,2
2776,5
2777,1
2778,1
2779,2
2780,5
2781,1
2782,2
2783,2
2784,3
2785,4
2786,3
2787,3
2788,1
2789,3
2790,5
2791,2
2792,3
2793,1
2794,1
2795,4
2796,5
2797,3
2798,3
2799,1
2800,1
2801,3
2802,3
2803,5
2804,4
2805,3
2806,2
2807,3
2808,4
2809,5
2810,2
2811,2
2812,3
2813,1
2814,5
2815,2
2816,3
2817,5
2818,1
2819,2
2820,4
2821,4
2822,1
2823,2
2824,3
2825,2
2826,4
2827,2
2828,3
2829,5
2830,1
2831,2
2832,1
2833,1
2834,4
2835,1
2836,3
2837,2
2838,5
2839,1
2840,5
2841,5
2842,4
2843,5
2844,5
2845,5
2846,2
2847,1
2848,4
2849,1
2850,5
2851,2
2852,3
2853,4
2854,2
2855,2
2856,2
2857,4
2858,5
2859,3
2860,4
2861,3
2862,3
2863,1
2864,3
2865,4
2866,3
2867,2
2868,5
2869,1
2870,5
2871,5
2872,3
2873,5
2874,5
2875,2
2876,2
2877,4
2878,1
2879,5
2880,3
2881,2
2882,2
2883,4
2884,4
2885,5
2886,4
2887,3
2888,5
2889,3
2890,5
2891,1
2892,4
2893,1
2894,4
2895,4
2896,2
2897,3
2898,1
2899,5
2900,5
2901,3
2902,1
2903,3
2904,3
2905,5
2906,5
2907,5
2908,1
2909,4
2910,4
2911,1
2912,3
2913,4
2914,3
2915,1
2916,4
2917,3
2918,1
2919,5
2920,5
2921,1
2922,4
2923,5
2924,1
2925,3
2926,2
2927,3
2928,5
2929,5
2930,4
2931,3
2932,5
2933,4
2934,3
2935,3
2936,3
2937,4
2938,1
2939,2
2940,2
2941,2
2942,2
2943,2
2944,1
2945,4
2946,4
2947,4
2948,5
2949,1
2950,1
2951,5
2952,4
2953,1
2954,2
2955,5
2956,2
2957,2
2958,5
2959,1
2960,3
2961,5
2962,4
2963,2
2964,3
2965,1
2966,1
2967,5
2968,4
2969,2
2970,4
2971,2
2972,2
2973,1
2974,1
2975,5
2976,4
2977,5
2978,4
2979,4
2980,5
2981,3
2982,5
2983,5
2984,1
2985,3
2986,3
2987,1
2988,3
2989,4
2990,2
2991,3
2992,1
2993,2
2994,1
2995,4
2996,5
2997,2
2998,2
2999,2
3000,5
3001,5
3002,2
3003,5
3004,1
3005,4
3006,5
3007,2
3008,4
3009,4
3010,5
3011,4
3012,4
3013,3
3014,4
3015,1
3016,3
3017,3
3018,5
3019,3
3020,4
3021,2
3022,4
3023,1
3024,4
3025,1
3026,2
3027,3
3028,2
3029,1
3030,2
3031,4
3032,5
3033,2
3034,3
3035,4
3036,4
3037,2
3038,5
3039,1
3040,5
3041,4
3042,2
3043,1
3044,4
3045,3
3046,4
3047,2
3048,4
3049,1
3050,1
3051,4
3052,2
3053,5
3054,1
3055,5
3056,4
3057,2
3058,5
3059,3
3060,4
3061,5
3062,3
3063,4
3064,1
3065,5
3066,2
3067,4
3068,2
3069,4
3070,5
3071,1
3072,2
3073,2
3074,3
3075,1
3076,3
3077,1
3078,4
3079,2
3080,3
3081,5
3082,3
3083,2
3084,1
3085,4
3086,4
3087,3
3088,4
3089,4
3090,1
3091,1
3092,3
3093,5
3094,2
3095,4
3096,2
3097,3
3098,5
3099,1
3100,4
3101,3
3102,5
3103,4
3104,2
3105,2
3106,4
3107,3
3108,3
3109,1
3110,4
3111,4
3112,4
3113,1
3114,5
3115,1
3116,1
3117,3
3118,1
3119,1
3120,3
3121,1
3122,1
3123,5
3124,5
3125,5
3126,2
3127,5
3128,2
3129,4
3130,4
3131,3
3132,3
3133,4
3134,4
3135,3
3136,1
3137,1
3138,1
3139,4
3140,5
3141,1
3142,3
3143,5
3144,3
3145,5
3146,5
3147,3
3148,2
3149,3
3150,5
3151,3
3152,5
3153,4
3154,2
3155,4
3156,3
3157,5
3158,5
3159,3
3160,5
3161,5
3162,5
3163,5
3164,4
3165,2
3166,5
3167,1
3168,5
3169,1
3170,5
3171,3
3172,3
3173,1
3174,2
3175,5
3176,4
3177,4
3178,5
3179,5
3180,5
3181,2
3182,2
3183,4
3184,1
3185,2
3186,5
3187,5
3188,5
3189,1
3190,1
3191,5
3192,5
3193,1
3194,5
3195,2
3196,5
3197,3
3198,2
3199,5
3200,5
3201,3
3202,2
3203,4
3204,4
3205,3
3206,5
3207,4
3208,3
3209,3
3210,3
3211,3
3212,1
3213,3
3214,2
3215,1
3216,1
3217,3
3218,3
3219,2
3220,5
3221,4
3222,1
3223,5
3224,2
3225,4
3226,5
3227,5
3228,2
3229,2
3230,5
3231,5
3232,1
3233,1
3234,2
3235,5
3236,5
3237,2
3238,5
3239,1
3240,1
3241,1
3242,3
3243,3
3244,2
3245,4
3246,4
3247,4
3248,2
3249,2
3250,2
3251,5
3252,2
3253,2
3254,1
3255,2
3256,3
3257,4
3258,2
3259,2
3260,2
3261,2
3262,5
3263,5
