id,answer
2615,1
2616,2
2617,3
2618,1
2619,1
2620,4
2621,4
2622,4
2623,2
2624,1
2625,2
2626,4
2627,3
2628,3
2629,2
2630,3
2631,1
2632,2
2633,5
2634,5
2635,4
2636,2
2637,3
2638,2
2639,2
2640,4
2641,4
2642,1
2643,3
2644,2
2645,5
2646,3
2647,3
2648,3
2649,3
2650,3
2651,3
2652,2
2653,3
2654,5
2655,4
2656,3
2657,4
2658,5
2659,2
2660,3
2661,5
2662,3
2663,1
2664,3
2665,3
2666,2
2667,1
2668,1
2669,5
2670,2
2671,3
2672,1
2673,5
2674,2
2675,2
2676,3
2677,2
2678,4
2679,4
2680,5
2681,3
2682,1
2683,3
2684,3
2685,4
2686,3
2687,1
2688,4
2689,1
2690,3
2691,3
2692,2
2693,1
2694,2
2695,5
2696,5
2697,1
2698,1
2699,3
2700,3
2701,3
2702,1
2703,5
2704,1
2705,1
2706,1
2707,2
2708,3
2709,4
2710,2
2711,4
2712,3
2713,3
2714,2
2715,4
2716,3
2717,4
2718,3
2719,4
2720,3
2721,4
2722,3
2723,1
2724,3
2725,2
2726,4
2727,3
2728,5
2729,1
2730,1
2731,3
2732,2
2733,5
2734,2
2735,2
2736,2
2737,5
2738,2
2739,3
2740,3
2741,2
2742,3
2743,2
2744,2
2745,5
2746,2
2747,1
2748,1
2749,5
2750,5
2751,3
2752,2
2753,2
2754,5
2755,3
2756,2
2757,4
2758,1
2759,3
2760,2
2761,2
2762,5
2763,3
2764,5
2765,1
2766,1
2767,3
2768,3
2769,4
2770,2
2771,4
2772,3
2773,2
2774,3
2775,3
2776,3
2777,1
2778,5
2779,3
2780,2
2781,2
2782,2
2783,2
2784,3
2785,4
2786,4
2787,3
2788,1
2789,1
2790,5
2791,2
2792,2
2793,1
2794,3
2795,4
2796,3
2797,3
2798,3
2799,3
2800,2
2801,4
2802,3
2803,5
2804,4
2805,5
2806,2
2807,3
2808,4
2809,4
2810,1
2811,2
2812,4
2813,1
2814,5
2815,2
2816,2
2817,5
2818,5
2819,2
2820,4
2821,5
2822,5
2823,2
2824,3
2825,2
2826,4
2827,4
2828,3
2829,5
2830,4
2831,2
2832,1
2833,1
2834,4
2835,2
2836,3
2837,2
2838,5
2839,1
2840,5
2841,5
2842,4
2843,2
2844,3
2845,4
2846,3
2847,5
2848,1
2849,4
2850,5
2851,4
2852,3
2853,4
2854,2
2855,2
2856,2
2857,4
2858,1
2859,1
2860,2
2861,4
2862,2
2863,1
2864,5
2865,4
2866,3
2867,2
2868,1
2869,1
2870,5
2871,5
2872,3
2873,4
2874,5
2875,3
2876,2
2877,2
2878,1
2879,5
2880,3
2881,1
2882,5
2883,5
2884,4
2885,5
2886,4
2887,4
2888,3
2889,1
2890,3
2891,3
2892,1
2893,5
2894,4
2895,4
2896,2
2897,3
2898,4
2899,4
2900,5
2901,5
2902,1
2903,4
2904,5
2905,5
2906,5
2907,5
2908,1
2909,5
2910,4
2911,4
2912,2
2913,4
2914,4
2915,3
2916,4
2917,3
2918,2
2919,3
2920,3
2921,5
2922,2
2923,2
2924,2
2925,3
2926,2
2927,3
2928,5
2929,5
2930,4
2931,5
2932,3
2933,4
2934,3
2935,1
2936,3
2937,3
2938,3
2939,2
2940,2
2941,2
2942,2
2943,2
2944,1
2945,1
2946,4
2947,5
2948,5
2949,3
2950,2
2951,5
2952,1
2953,1
2954,2
2955,5
2956,2
2957,1
2958,2
2959,1
2960,3
2961,5
2962,2
2963,1
2964,4
2965,1
2966,1
2967,5
2968,1
2969,4
2970,4
2971,2
2972,2
2973,1
2974,5
2975,1
2976,1
2977,5
2978,4
2979,3
2980,3
2981,3
2982,5
2983,5
2984,1
2985,4
2986,4
2987,2
2988,3
2989,4
2990,2
2991,3
2992,5
2993,4
2994,2
2995,2
2996,1
2997,3
2998,2
2999,3
3000,5
3001,2
3002,5
3003,3
3004,1
3005,5
3006,3
3007,4
3008,2
3009,4
3010,5
3011,4
3012,4
3013,1
3014,4
3015,2
3016,5
3017,3
3018,5
3019,3
3020,4
3021,2
3022,4
3023,3
3024,1
3025,1
3026,5
3027,3
3028,2
3029,1
3030,2
3031,4
3032,5
3033,2
3034,2
3035,4
3036,1
3037,1
