id,answer
2615,3
2616,5
2617,3
2618,1
2619,1
2620,4
2621,4
2622,2
2623,3
2624,1
2625,2
2626,4
2627,1
2628,5
2629,2
2630,3
2631,1
2632,2
2633,5
2634,5
2635,4
2636,4
2637,5
2638,5
2639,2
2640,5
2641,3
2642,2
2643,2
2644,1
2645,3
2646,3
2647,3
2648,3
2649,3
2650,3
2651,4
2652,3
2653,2
2654,3
2655,5
2656,3
2657,4
2658,4
2659,2
2660,3
2661,3
2662,3
2663,5
2664,2
2665,1
2666,2
2667,5
2668,5
2669,5
2670,2
2671,3
2672,4
2673,5
2674,1
2675,4
2676,4
2677,5
2678,4
2679,3
2680,4
2681,2
2682,3
2683,1
2684,2
2685,4
2686,1
2687,1
2688,5
2689,2
2690,1
2691,3
2692,2
2693,5
2694,2
2695,5
2696,5
2697,1
2698,5
2699,3
2700,3
2701,3
2702,1
2703,5
2704,1
2705,5
2706,1
2707,2
2708,3
2709,4
2710,1
2711,3
2712,3
2713,2
2714,2
2715,4
2716,2
2717,1
2718,2
2719,3
2720,5
2721,1
2722,2
2723,2
2724,5
2725,3
2726,5
2727,5
2728,1
2729,1
2730,1
2731,2
2732,4
2733,5
2734,3
2735,4
2736,2
2737,5
2738,2
2739,3
2740,3
2741,2
2742,3
2743,2
2744,2
2745,5
2746,2
2747,1
2748,1
2749,5
2750,4
2751,3
2752,4
2753,4
2754,3
2755,3
2756,3
2757,1
2758,3
2759,5
2760,3
2761,3
2762,1
2763,4
2764,1
2765,3
2766,5
2767,3
2768,3
2769,4
2770,1
2771,4
2772,3
2773,2
2774,3
2775,4
2776,3
2777,1
2778,1
2779,3
2780,5
2781,1
2782,2
2783,2
2784,3
2785,4
2786,3
2787,3
2788,1
2789,1
2790,5
2791,2
2792,3
2793,1
2794,1
2795,4
2796,5
2797,1
2798,3
2799,4
2800,1
2801,5
2802,3
2803,5
2804,4
2805,3
2806,2
2807,3
2808,3
2809,1
2810,2
2811,3
2812,3
2813,1
2814,5
2815,2
2816,2
2817,5
2818,1
2819,3
2820,4
2821,4
2822,1
2823,2
2824,3
2825,2
2826,4
2827,2
2828,3
2829,4
2830,1
2831,2
2832,1
2833,1
2834,1
2835,1
2836,3
2837,2
2838,5
2839,1
2840,5
2841,5
2842,4
2843,2
2844,3
2845,4
2846,3
2847,5
2848,1
2849,3
2850,5
2851,2
